replicate	sample_size	architecture	ld_policy	n_trait1_causal	n_trait2_causal	n_shared_causal	completed	fit1_converged	fit2_converged	comparable_pairs	max_pp_h4_susie	pp_h4_abf	trait1_all_causal_in_cs	trait2_all_causal_in_cs	runtime_seconds	error
1	2000	one_shared	EUR_matched	1	1	1	TRUE	TRUE	TRUE	4	0.00531615777412502	0.011899498322261	TRUE	TRUE	0.510000000000001	
1	2000	one_shared	EAS_substituted	1	1	1	TRUE	TRUE	TRUE	5	0.00540298403779571	0.011899498322261	TRUE	TRUE	0.0999999999999996	
1	2000	one_shared	AFR_substituted	1	1	1	TRUE	TRUE	TRUE	2	0.00145909607425162	0.011899498322261	TRUE	TRUE	0.0600000000000005	
1	2000	two_shared	EUR_matched	2	2	2	TRUE	TRUE	TRUE	6	0.101275223913213	0.305531182047833	TRUE	TRUE	0.0799999999999992	
1	2000	two_shared	EAS_substituted	2	2	2	TRUE	TRUE	TRUE	6	0.127010104568185	0.305531182047833	TRUE	TRUE	0.0600000000000005	
1	2000	two_shared	AFR_substituted	2	2	2	TRUE	TRUE	TRUE	12	0.00818756260615433	0.305531182047833	TRUE	TRUE	0.0899999999999999	
1	2000	shared_plus_specific	EUR_matched	2	2	1	TRUE	TRUE	TRUE	8	0.0404015122128932	0.163855434126877	TRUE	TRUE	0.13	
1	2000	shared_plus_specific	EAS_substituted	2	2	1	TRUE	TRUE	TRUE	8	0.0623310721169732	0.163855434126877	TRUE	TRUE	0.11	
1	2000	shared_plus_specific	AFR_substituted	2	2	1	TRUE	TRUE	TRUE	8	0.146693195063699	0.163855434126877	TRUE	FALSE	0.0800000000000001	
1	2000	distinct_only	EUR_matched	1	1	0	TRUE	TRUE	TRUE	1	0.0609110925679785	0.0402601467101792	TRUE	TRUE	0.0499999999999998	
1	2000	distinct_only	EAS_substituted	1	1	0	TRUE	TRUE	TRUE	3	0.03424861182863	0.0402601467101792	TRUE	TRUE	0.12	
1	2000	distinct_only	AFR_substituted	1	1	0	TRUE	TRUE	TRUE	8	0.0521521995193004	0.0402601467101792	TRUE	TRUE	0.0599999999999996	
1	5000	one_shared	EUR_matched	1	1	1	TRUE	TRUE	TRUE	2	0.976080214404044	0.973229209905465	TRUE	TRUE	0.0700000000000003	
1	5000	one_shared	EAS_substituted	1	1	1	TRUE	TRUE	TRUE	5	0.972423608244942	0.973229209905465	TRUE	FALSE	2.09	
1	5000	one_shared	AFR_substituted	1	1	1	TRUE	TRUE	TRUE	16	0.916025928147848	0.973229209905465	TRUE	TRUE	0.11	
1	5000	two_shared	EUR_matched	2	2	2	TRUE	TRUE	TRUE	4	0.967445435137261	0.950931181039286	TRUE	TRUE	0.0800000000000001	
1	5000	two_shared	EAS_substituted	2	2	2	TRUE	TRUE	TRUE	6	0.95641802602286	0.950931181039286	TRUE	TRUE	0.0899999999999999	
1	5000	two_shared	AFR_substituted	2	2	2	TRUE	TRUE	TRUE	20	0.996651476997663	0.950931181039286	TRUE	TRUE	0.129999999999999	
1	5000	shared_plus_specific	EUR_matched	2	2	1	TRUE	TRUE	TRUE	4	0.803806028429195	0.733793732086401	TRUE	TRUE	0.0700000000000003	
1	5000	shared_plus_specific	EAS_substituted	2	2	1	TRUE	TRUE	TRUE	8	0.931605576987137	0.733793732086401	TRUE	TRUE	0.110000000000001	
1	5000	shared_plus_specific	AFR_substituted	2	2	1	TRUE	TRUE	TRUE	20	0.430353026414755	0.733793732086401	TRUE	TRUE	0.17	
1	5000	distinct_only	EUR_matched	1	1	0	TRUE	TRUE	TRUE	2	0.102433754197466	0.0150788014235538	TRUE	TRUE	0.0499999999999989	
