architecture	sample_size	ld_policy	attempted	completed	both_susie_converged	median_comparable_pairs	median_max_pp_h4_susie	h4_ge_0_8_susie	h4_ge_0_8_susie_denominator	h4_ge_0_8_susie_rate	h4_ge_0_8_susie_ci_low	h4_ge_0_8_susie_ci_high	median_pp_h4_abf	h4_ge_0_8_abf	h4_ge_0_8_abf_denominator	h4_ge_0_8_abf_rate	h4_ge_0_8_abf_ci_low	h4_ge_0_8_abf_ci_high	trait1_all_causal_cs_rate	trait2_all_causal_cs_rate	median_runtime_seconds
one_shared	2000	EUR_matched	50	50	50	1	0.178637154091069	10	46	0.217391304347826	0.122609053245625	0.355736873715789	0.0948331685831283	9	50	0.18	0.0977019267023418	0.307960536743008	0.94	0.98	0.0300000000000296
one_shared	2000	EAS_substituted	50	50	50	2	0.128468294977542	9	46	0.195652173913043	0.106506101343985	0.331712589229846	0.0948331685831283	9	50	0.18	0.0977019267023418	0.307960536743008	0.94	0.98	0.0300000000000296
one_shared	2000	AFR_substituted	50	50	50	4	0.0130825219368428	4	46	0.0869565217391304	0.0343358678947259	0.203246640741188	0.0948331685831283	9	50	0.18	0.0977019267023418	0.307960536743008	0.94	0.98	0.0500000000000114
one_shared	5000	EUR_matched	50	50	50	1	0.981575721680624	47	50	0.94	0.837829083111618	0.979385029651026	0.980512297075184	47	50	0.94	0.837829083111618	0.979385029651026	0.96	0.98	0.0300000000000011
one_shared	5000	EAS_substituted	50	49	49	2	0.985648771848733	45	49	0.918367346938776	0.808108724034287	0.967797182332236	0.979375158144619	46	49	0.938775510204082	0.834795121642736	0.978959853327033	0.877551020408163	0.938775510204082	0.0400000000000205
one_shared	5000	AFR_substituted	50	50	50	16	0.993972636426937	41	50	0.82	0.692039463256992	0.902298073297658	0.980512297075184	47	50	0.94	0.837829083111618	0.979385029651026	0.9	0.9	0.0699999999999932
one_shared	20000	EUR_matched	50	50	50	1	0.996636333696881	50	50	1	0.928652400866641	1	0.996631905961834	50	50	1	0.928652400866641	1	1	0.96	0.0300000000000011
one_shared	20000	EAS_substituted	50	45	45	25	0.999800329592046	44	45	0.977777777777778	0.884333182315851	0.996066401117167	0.996586019768508	45	45	1	0.921348401267112	1	0.555555555555556	0.6	1.40000000000003
one_shared	20000	AFR_substituted	50	50	50	25	0.999999999215454	50	50	1	0.928652400866641	1	0.996631905961834	50	50	1	0.928652400866641	1	0.58	0.56	0.0799999999999841
two_shared	2000	EUR_matched	50	50	50	2	0.142393675683748	11	45	0.244444444444444	0.142354794337717	0.386733800570203	0.103415513668446	10	50	0.2	0.112437500157761	0.330371059322254	0.8	0.66	0.0399999999999636
two_shared	2000	EAS_substituted	50	50	50	2.5	0.142393675683748	10	45	0.222222222222222	0.125446855326264	0.362692921747563	0.103415513668446	10	50	0.2	0.112437500157761	0.330371059322254	0.8	0.68	0.0400000000000205
two_shared	2000	AFR_substituted	50	50	50	4	0.031584853936209	5	45	0.111111111111111	0.0484047179456719	0.234990969957686	0.103415513668446	10	50	0.2	0.112437500157761	0.330371059322254	0.86	0.86	0.0500000000000398
two_shared	5000	EUR_matched	50	50	50	4	0.92750548823076	32	50	0.64	0.501410168761127	0.758612503481533	0.918676013664559	29	50	0.58	0.442334417685782	0.70624996645288	0.78	0.72	0.0500000000000114
two_shared	5000	EAS_substituted	50	48	48	6	0.876500006233663	32	48	0.666666666666667	0.52540109705948	0.783232193051814	0.924572600267967	28	48	0.583333333333333	0.442813322839763	0.711503322215884	0.645833333333333	0.645833333333333	0.0699999999999932
two_shared	5000	AFR_substituted	50	50	50	20	0.979186804224798	33	50	0.66	0.521538260502326	0.775630507774999	0.918676013664559	29	50	0.58	0.442334417685782	0.70624996645288	0.66	0.78	0.0699999999999932
two_shared	20000	EUR_matched	50	50	50	4	0.995470071280014	46	50	0.92	0.811617530816572	0.968450485911407	0.956682819378163	35	50	0.7	0.562496495355466	0.808964464991191	0.84	0.82	0.0600000000000023
two_shared	20000	EAS_substituted	50	35	35	25	0.999999168608757	34	35	0.971428571428571	0.854669127663863	0.994938508144556	0.982891785793431	24	35	0.685714285714286	0.520202363879308	0.814491553257342	0.342857142857143	0.4	1.575
two_shared	20000	AFR_substituted	50	50	50	25	0.999999843048883	50	50	1	0.928652400866641	1	0.956682819378163	35	50	0.7	0.562496495355466	0.808964464991191	0.2	0.28	0.0799999999999983
shared_plus_specific	2000	EUR_matched	50	50	50	2	0.0876791410242915	6	43	0.13953488372093	0.0655572342796488	0.272635879673829	0.0906503137417135	5	50	0.1	0.0434757649318904	0.213602314374797	0.64	0.72	0.0449999999999733
shared_plus_specific	2000	EAS_substituted	50	50	50	2	0.100978311076181	5	43	0.116279069767442	0.0507042773980417	0.244791618100821	0.0906503137417135	5	50	0.1	0.0434757649318904	0.213602314374797	0.66	0.7	0.0499999999999758
shared_plus_specific	2000	AFR_substituted	50	50	50	5	0.0671240545899911	0	43	0	6.93889390390723e-18	0.0820098032257911	0.0906503137417135	5	50	0.1	0.0434757649318904	0.213602314374797	0.86	0.88	0.0600000000000023
shared_plus_specific	5000	EUR_matched	50	50	50	2	0.798413555789823	24	48	0.5	0.363893305026794	0.636106694973206	0.75402119137785	24	50	0.48	0.347971352865781	0.614882551099554	0.7	0.74	0.0500000000000114
shared_plus_specific	5000	EAS_substituted	50	50	50	6	0.874071997287678	28	48	0.583333333333333	0.442813322839763	0.711503322215884	0.75402119137785	24	50	0.48	0.347971352865781	0.614882551099554	0.6	0.68	0.0600000000000023
shared_plus_specific	5000	AFR_substituted	50	50	50	17.5	0.803842047631772	24	48	0.5	0.363893305026794	0.636106694973206	0.75402119137785	24	50	0.48	0.347971352865781	0.614882551099554	0.54	0.74	0.0799999999999841
shared_plus_specific	20000	EUR_matched	50	50	50	4	0.990214518036585	40	50	0.8	0.669628940677746	0.887562499842239	0.0682941928753427	12	50	0.24	0.142973913969917	0.374126837579429	0.84	0.8	0.0600000000000023
shared_plus_specific	20000	EAS_substituted	50	36	36	20	0.99999734230513	32	36	0.888888888888889	0.746851914096351	0.955933596996843	0.157661207145941	11	36	0.305555555555556	0.180044515948299	0.468562728505103	0.277777777777778	0.388888888888889	1.84499999999999
shared_plus_specific	20000	AFR_substituted	50	50	50	25	0.999414466972614	40	50	0.8	0.669628940677746	0.887562499842239	0.0682941928753427	12	50	0.24	0.142973913969917	0.374126837579429	0.16	0.12	0.0799999999999983
distinct_only	2000	EUR_matched	50	50	50	1	0.0647529368781152	1	46	0.0217391304347826	0.00384785425805029	0.113352945215114	0.0197902950945324	0	50	0	0	0.0713475991333587	0.92	0.98	0.0300000000000011
distinct_only	2000	EAS_substituted	50	50	50	2	0.0588785044315873	1	46	0.0217391304347826	0.00384785425805029	0.113352945215114	0.0197902950945324	0	50	0	0	0.0713475991333587	0.92	0.98	0.0400000000000134
distinct_only	2000	AFR_substituted	50	50	50	4	0.0194593950849912	1	46	0.0217391304347826	0.00384785425805029	0.113352945215114	0.0197902950945324	0	50	0	0	0.0713475991333587	0.88	0.96	0.0500000000000682
distinct_only	5000	EUR_matched	50	50	50	1	0.0700288513781062	5	50	0.1	0.0434757649318904	0.213602314374797	0.0080037694376611	5	50	0.1	0.0434757649318904	0.213602314374797	0.96	0.96	0.0300000000000153
distinct_only	5000	EAS_substituted	50	50	50	3	0.0906744330489613	13	50	0.26	0.158715274935524	0.395531572648488	0.0080037694376611	5	50	0.1	0.0434757649318904	0.213602314374797	0.88	0.96	0.0500000000000043
distinct_only	5000	AFR_substituted	50	50	50	13.5	0.187481650503483	9	50	0.18	0.0977019267023418	0.307960536743008	0.0080037694376611	5	50	0.1	0.0434757649318904	0.213602314374797	0.84	0.92	0.0649999999999977
distinct_only	20000	EUR_matched	50	50	50	1	3.53251990786116e-14	0	50	0	0	0.0713475991333587	7.07332041012875e-18	0	50	0	0	0.0713475991333587	1	1	0.0300000000000011
distinct_only	20000	EAS_substituted	50	39	39	20	0.759658866713177	19	39	0.487179487179487	0.33865175329862	0.63800637115542	1.76135011648713e-17	0	39	0	0	0.0896668537075714	0.58974358974359	0.692307692307692	1.485
distinct_only	20000	AFR_substituted	50	50	50	25	0.888844614904486	26	50	0.52	0.385117448900446	0.652028647134219	7.07332041012875e-18	0	50	0	0	0.0713475991333587	0.58	0.48	0.0800000000000018
