replicate	sample_size	architecture	pp_h4_abf
1	2000	one_shared	0.011899498322261
1	2000	two_shared	0.305531182047833
1	2000	shared_plus_specific	0.163855434126877
1	2000	distinct_only	0.0402601467101792
1	5000	one_shared	0.973229209905465
1	5000	two_shared	0.950931181039286
1	5000	shared_plus_specific	0.733793732086401
1	5000	distinct_only	0.0150788014235538
1	20000	one_shared	0.981129192633711
1	20000	two_shared	0.0331571313683182
1	20000	shared_plus_specific	0.985275730840421
1	20000	distinct_only	5.80963246935345e-27
2	2000	one_shared	0.691251456972596
2	2000	two_shared	0.971797143166262
2	2000	shared_plus_specific	0.000345289990657689
2	2000	distinct_only	0.0070826726531798
2	5000	one_shared	0.97448578740964
2	5000	two_shared	0.936897917473632
2	5000	shared_plus_specific	0.00976681226407644
2	5000	distinct_only	4.87597629407151e-07
2	20000	one_shared	0.960092812073766
2	20000	two_shared	0.857580271964483
2	20000	shared_plus_specific	4.06403354121585e-07
2	20000	distinct_only	2.21504573920269e-18
3	2000	one_shared	0.250984759573209
3	2000	two_shared	0.000801855971780664
3	2000	shared_plus_specific	0.104705314351778
3	2000	distinct_only	0.0180428448739413
3	5000	one_shared	0.99477964563569
3	5000	two_shared	0.994539974343211
3	5000	shared_plus_specific	0.925617530775215
3	5000	distinct_only	1.74895967473189e-05
3	20000	one_shared	0.99609496147029
3	20000	two_shared	0.994823472116794
3	20000	shared_plus_specific	0.99146056210667
3	20000	distinct_only	9.01339465962917e-18
4	2000	one_shared	0.98215094167325
4	2000	two_shared	0.991580185418264
4	2000	shared_plus_specific	0.214033705312733
4	2000	distinct_only	0.0068038957608508
4	5000	one_shared	0.976521874328944
4	5000	two_shared	0.952423715276909
4	5000	shared_plus_specific	0.923058682514532
4	5000	distinct_only	0.973897435201989
4	20000	one_shared	0.98281242532678
4	20000	two_shared	0.947543571862338
4	20000	shared_plus_specific	0.985130631714052
4	20000	distinct_only	4.08143278989902e-05
5	2000	one_shared	0.126106083325015
5	2000	two_shared	0.0285680161824071
5	2000	shared_plus_specific	0.0380129528638353
5	2000	distinct_only	0.0887233110980197
5	5000	one_shared	0.992690733908018
5	5000	two_shared	0.000708174471399504
5	5000	shared_plus_specific	0.141913942023194
5	5000	distinct_only	0.0096802731747331
5	20000	one_shared	0.992143665809976
5	20000	two_shared	0.841087716592322
5	20000	shared_plus_specific	0.904806770510706
5	20000	distinct_only	1.81137945043977e-10
6	2000	one_shared	0.784788877495475
6	2000	two_shared	0.00791998828386555
6	2000	shared_plus_specific	0.227033292247766
6	2000	distinct_only	0.0118832329015643
6	5000	one_shared	0.919677643126938
6	5000	two_shared	0.00925928798116007
6	5000	shared_plus_specific	0.857708871865757
6	5000	distinct_only	0.00029815687561538
6	20000	one_shared	0.998623510423574
6	20000	two_shared	0.983727718045231
6	20000	shared_plus_specific	0.0499910998540547
6	20000	distinct_only	6.87955953831046e-11
7	2000	one_shared	0.961951556243311
7	2000	two_shared	0.972331436468229
7	2000	shared_plus_specific	0.19718567481631
7	2000	distinct_only	0.0246715733187199
7	5000	one_shared	0.939689532737644
7	5000	two_shared	0.983644978950403
7	5000	shared_plus_specific	0.985688208441421
7	5000	distinct_only	0.00635555499611312
7	20000	one_shared	0.999257223365114
7	20000	two_shared	0.112793949945217
7	20000	shared_plus_specific	7.46921234459606e-06
7	20000	distinct_only	4.14769793164993e-21
8	2000	one_shared	0.550293978500392
8	2000	two_shared	0.780618685078107
8	2000	shared_plus_specific	0.189771597904325
8	2000	distinct_only	0.102867944968767
8	5000	one_shared	0.957831147636753
8	5000	two_shared	0.921170600486184
8	5000	shared_plus_specific	0.85133753499091
8	5000	distinct_only	0.00675033463206329
8	20000	one_shared	0.998598173804903
8	20000	two_shared	0.333399228567375
8	20000	shared_plus_specific	3.81455663291645e-06
8	20000	distinct_only	3.07536937652543e-12
9	2000	one_shared	0.879308369468386
9	2000	two_shared	0.992102086770176
9	2000	shared_plus_specific	0.0897809539819206
9	2000	distinct_only	0.0172865624075394
9	5000	one_shared	0.570005829984012
9	5000	two_shared	0.79141440374925
9	5000	shared_plus_specific	0.833869114866284
9	5000	distinct_only	0.957921076004201
9	20000	one_shared	0.981738871397313
9	20000	two_shared	0.993112677176283
9	20000	shared_plus_specific	0.0281257743130879
9	20000	distinct_only	7.69299208666641e-07
10	2000	one_shared	0.613054141289868
10	2000	two_shared	0.0238738520259922
10	2000	shared_plus_specific	0.348583111620106
10	2000	distinct_only	0.0246003152726146
10	5000	one_shared	0.974980672025429
10	5000	two_shared	0.0977081435012412
10	5000	shared_plus_specific	0.818674533209068
10	5000	distinct_only	0.259051309892409
10	20000	one_shared	0.998214274791518
10	20000	two_shared	0.993493614654766
10	20000	shared_plus_specific	0.98919254996819
10	20000	distinct_only	8.12258422321821e-23
11	2000	one_shared	0.000169037701574343
11	2000	two_shared	0.0998546470536457
11	2000	shared_plus_specific	0.0076723450013158
11	2000	distinct_only	0.000780576317723317
11	5000	one_shared	0.820075572255285
11	5000	two_shared	0.0517686364931142
11	5000	shared_plus_specific	0.0163194882741253
11	5000	distinct_only	0.0281536748941772
11	20000	one_shared	0.996342566158089
11	20000	two_shared	0.923004017473444
11	20000	shared_plus_specific	0.000423091504607659
11	20000	distinct_only	1.23258415550487e-24
12	2000	one_shared	0.0130576845198739
12	2000	two_shared	0.522724528825891
12	2000	shared_plus_specific	0.0046296173840126
12	2000	distinct_only	0.0019305639492801
12	5000	one_shared	0.977781896953504
12	5000	two_shared	0.960447314651964
12	5000	shared_plus_specific	0.00368373357992909
12	5000	distinct_only	5.29526140505528e-05
12	20000	one_shared	0.982697303615082
12	20000	two_shared	1.23300565508068e-05
12	20000	shared_plus_specific	0.98786557351516
12	20000	distinct_only	3.64392668359933e-19
13	2000	one_shared	0.051007457045793
13	2000	two_shared	0.990996705735854
13	2000	shared_plus_specific	0.352319498238911
13	2000	distinct_only	0.00018908741950907
13	5000	one_shared	0.992275092639865
13	5000	two_shared	0.589104666036593
13	5000	shared_plus_specific	0.935253683820676
13	5000	distinct_only	0.00925720424325891
13	20000	one_shared	0.99496006074675
13	20000	two_shared	0.952811636474571
13	20000	shared_plus_specific	0.00158100956166419
13	20000	distinct_only	1.37122543287906e-26
14	2000	one_shared	0.461252366876896
14	2000	two_shared	0.0785668945401256
14	2000	shared_plus_specific	0.0205625769311459
14	2000	distinct_only	0.0731295166550303
14	5000	one_shared	0.998850930140911
14	5000	two_shared	0.977020439287062
14	5000	shared_plus_specific	0.578108402075608
14	5000	distinct_only	1.925446332629e-07
14	20000	one_shared	0.999000138212027
14	20000	two_shared	0.0563828051405491
14	20000	shared_plus_specific	0.630586242385374
14	20000	distinct_only	1.20333880017415e-12
15	2000	one_shared	0.0116602391390946
15	2000	two_shared	0.945596852785898
15	2000	shared_plus_specific	0.110614447737183
15	2000	distinct_only	0.0369906398415884
15	5000	one_shared	0.992911321990589
15	5000	two_shared	0.928040342309351
15	5000	shared_plus_specific	0.982874959049042
15	5000	distinct_only	0.0185562435395298
15	20000	one_shared	0.993208225022722
15	20000	two_shared	0.99240121782211
15	20000	shared_plus_specific	9.97413818183419e-05
15	20000	distinct_only	2.27001972230791e-16
16	2000	one_shared	0.0536703180119064
16	2000	two_shared	0.967055351998747
16	2000	shared_plus_specific	0.425116408213466
16	2000	distinct_only	0.174605738234612
16	5000	one_shared	0.981649436005748
16	5000	two_shared	0.968508797983435
16	5000	shared_plus_specific	0.587484155051536
16	5000	distinct_only	0.885833181172964
16	20000	one_shared	0.996931561660917
16	20000	two_shared	0.94431819164592
16	20000	shared_plus_specific	4.12972657441784e-05
16	20000	distinct_only	0.000148135893564214
17	2000	one_shared	0.0911209086486631
17	2000	two_shared	0.123112233141358
17	2000	shared_plus_specific	0.00197473082351987
17	2000	distinct_only	0.0162056577898483
17	5000	one_shared	0.986167415605795
17	5000	two_shared	0.928993308594945
17	5000	shared_plus_specific	0.978679350741075
17	5000	distinct_only	0.000133547289403882
17	20000	one_shared	0.985870120967981
17	20000	two_shared	6.71806978208565e-10
17	20000	shared_plus_specific	1.57909768811357e-07
17	20000	distinct_only	5.13324616062832e-18
18	2000	one_shared	0.962567434929874
18	2000	two_shared	0.0262071009104446
