architecture	sample_size	ld_policy	attempted	completed	both_susie_converged	median_comparable_pairs	median_max_pp_h4_susie	h4_ge_0_8_susie	h4_ge_0_8_susie_denominator	h4_ge_0_8_susie_rate	h4_ge_0_8_susie_ci_low	h4_ge_0_8_susie_ci_high	median_pp_h4_abf	h4_ge_0_8_abf	h4_ge_0_8_abf_denominator	h4_ge_0_8_abf_rate	h4_ge_0_8_abf_ci_low	h4_ge_0_8_abf_ci_high	trait1_all_causal_cs_rate	trait2_all_causal_cs_rate	median_runtime_seconds	failed	completed_without_finite_pph4	finite_pph4	observed_high_pph4_per_attempt
one_shared	2000	EUR_matched	50	50	50	1	0.178637154091069	10	46	0.217391304347826	0.122609053245625	0.355736873715789	0.0948331685831283	9	50	0.18	0.0977019267023418	0.307960536743008	0.94	0.98	0.0300000000000296	0	4	46	0.2
one_shared	2000	EAS_substituted	50	50	50	2	0.128468294977542	9	46	0.195652173913043	0.106506101343985	0.331712589229846	0.0948331685831283	9	50	0.18	0.0977019267023418	0.307960536743008	0.94	0.98	0.0300000000000296	0	4	46	0.18
one_shared	2000	AFR_substituted	50	50	50	4	0.0130825219368428	4	46	0.0869565217391304	0.0343358678947259	0.203246640741188	0.0948331685831283	9	50	0.18	0.0977019267023418	0.307960536743008	0.94	0.98	0.0500000000000114	0	4	46	0.08
one_shared	5000	EUR_matched	50	50	50	1	0.981575721680624	47	50	0.94	0.837829083111618	0.979385029651026	0.980512297075184	47	50	0.94	0.837829083111618	0.979385029651026	0.96	0.98	0.0300000000000011	0	0	50	0.94
one_shared	5000	EAS_substituted	50	49	49	2	0.985648771848733	45	49	0.918367346938776	0.808108724034287	0.967797182332236	0.980512297075184	47	50	0.94	0.837829083111618	0.979385029651026	0.877551020408163	0.938775510204082	0.0400000000000205	1	0	49	0.9
one_shared	5000	AFR_substituted	50	50	50	16	0.993972636426937	41	50	0.82	0.692039463256992	0.902298073297658	0.980512297075184	47	50	0.94	0.837829083111618	0.979385029651026	0.9	0.9	0.0699999999999932	0	0	50	0.82
one_shared	20000	EUR_matched	50	50	50	1	0.996636333696881	50	50	1	0.928652400866641	1	0.996631905961834	50	50	1	0.928652400866641	1	1	0.96	0.0300000000000011	0	0	50	1
one_shared	20000	EAS_substituted	50	45	45	25	0.999800329592046	44	45	0.977777777777778	0.884333182315851	0.996066401117167	0.996631905961834	50	50	1	0.928652400866641	1	0.555555555555556	0.6	1.40000000000003	5	0	45	0.88
one_shared	20000	AFR_substituted	50	50	50	25	0.999999999215454	50	50	1	0.928652400866641	1	0.996631905961834	50	50	1	0.928652400866641	1	0.58	0.56	0.0799999999999841	0	0	50	1
two_shared	2000	EUR_matched	50	50	50	2	0.142393675683748	11	45	0.244444444444444	0.142354794337717	0.386733800570203	0.103415513668446	10	50	0.2	0.112437500157761	0.330371059322254	0.8	0.66	0.0399999999999636	0	5	45	0.22
two_shared	2000	EAS_substituted	50	50	50	2.5	0.142393675683748	10	45	0.222222222222222	0.125446855326264	0.362692921747563	0.103415513668446	10	50	0.2	0.112437500157761	0.330371059322254	0.8	0.68	0.0400000000000205	0	5	45	0.2
two_shared	2000	AFR_substituted	50	50	50	4	0.031584853936209	5	45	0.111111111111111	0.0484047179456719	0.234990969957686	0.103415513668446	10	50	0.2	0.112437500157761	0.330371059322254	0.86	0.86	0.0500000000000398	0	5	45	0.1
two_shared	5000	EUR_matched	50	50	50	4	0.92750548823076	32	50	0.64	0.501410168761127	0.758612503481533	0.918676013664559	29	50	0.58	0.442334417685782	0.70624996645288	0.78	0.72	0.0500000000000114	0	0	50	0.64
two_shared	5000	EAS_substituted	50	48	48	6	0.876500006233663	32	48	0.666666666666667	0.52540109705948	0.783232193051814	0.918676013664559	29	50	0.58	0.442334417685782	0.70624996645288	0.645833333333333	0.645833333333333	0.0699999999999932	2	0	48	0.64
two_shared	5000	AFR_substituted	50	50	50	20	0.979186804224798	33	50	0.66	0.521538260502326	0.775630507774999	0.918676013664559	29	50	0.58	0.442334417685782	0.70624996645288	0.66	0.78	0.0699999999999932	0	0	50	0.66
two_shared	20000	EUR_matched	50	50	50	4	0.995470071280014	46	50	0.92	0.811617530816572	0.968450485911407	0.956682819378163	35	50	0.7	0.562496495355466	0.808964464991191	0.84	0.82	0.0600000000000023	0	0	50	0.92
two_shared	20000	EAS_substituted	50	35	35	25	0.999999168608757	34	35	0.971428571428571	0.854669127663863	0.994938508144556	0.956682819378163	35	50	0.7	0.562496495355466	0.808964464991191	0.342857142857143	0.4	1.575	15	0	35	0.68
two_shared	20000	AFR_substituted	50	50	50	25	0.999999843048883	50	50	1	0.928652400866641	1	0.956682819378163	35	50	0.7	0.562496495355466	0.808964464991191	0.2	0.28	0.0799999999999983	0	0	50	1
