model	bin	n	mean_prediction	observed	low	high
LD-GuardNet	0	320	0.002034406156249999	0.228125	0.19005090335531977	0.26346499635290327
LD-GuardNet	1	320	0.01583806840625	0.403125	0.3562466356740886	0.45186283815851924
LD-GuardNet	2	320	0.08130194421875	0.521875	0.4682359700048379	0.5748056416061003
LD-GuardNet	3	320	0.26673567259375003	0.615625	0.5643204362949285	0.6661371237458193
LD-GuardNet	4	320	0.61137278925	0.75	0.7027730131503717	0.7933089851984496
LD-GuardNet	5	320	0.9803259163784375	0.98125	0.9654603122966818	0.993818082788671
LD-GuardNet	6	320	0.99993366175845	1.0	1.0	1.0
LD-GuardNet	7	320	0.9999912780486152	1.0	1.0	1.0
LD-GuardNet	8	320	0.9999979725687951	1.0	1.0	1.0
LD-GuardNet	9	320	0.9999994750264299	1.0	1.0	1.0
Logistic	0	320	0.15720813965625	0.409375	0.3724137931034483	0.4380578512396694
Logistic	1	320	0.34708890128125003	0.475	0.4413533694925329	0.5116279069767442
Logistic	2	320	0.4950896655	0.596875	0.5611879180844699	0.6385458510854128
Logistic	3	320	0.700375199	0.625	0.5795096478081678	0.6692281151419558
Logistic	4	320	0.9092716799625	0.7	0.6516129032258065	0.7523047069080273
Logistic	5	320	0.98746949895875	0.84375	0.7967128672836733	0.889581272667326
Logistic	6	320	0.9986037649203124	0.9125	0.8755133285302594	0.9478811188811189
Logistic	7	320	0.9998270173483187	0.971875	0.9524351750650134	0.9869504587937238
Logistic	8	320	0.9999815810736408	0.978125	0.9609228424015009	0.9912414965986395
Logistic	9	320	0.9999988560037242	0.9875	0.9736842105263158	1.0
