Case	Raw rows	Analysis/LD	Exact duplicates	Not in LD	Rank	Policy status
C2	243	225/225	9	9	108/225	READY/OK
R01	1972	1765/1765	71	136	502/1765	READY/OK
R02	1634	1484/1484	47	103	502/1484	READY/OK
R03	1717	1639/1639	27	51	354/1639	READY/OK
R04	1907	1776/1776	40	91	502/1776	READY/OK
R05	1631	1528/1528	48	55	501/1528	READY/OK
R06	0	0/0	0	0	NA	E_NO_ELIGIBLE_GENE
R07	640	620/620	19	1	230/620	READY/OK
R08	1443	1364/1364	32	47	502/1364	READY/OK
R09	1109	1042/1042	19	48	292/1042	READY/OK
R10	1417	1325/1325	44	48	502/1325	READY/OK
R11	1908	1714/1714	37	157	330/1714	READY/OK
R12	1165	1134/1134	31	0	447/1134	READY/OK
